iter	t-statistic	pvalue
0	2.825816655582768	0.004902
1	2.9793356532170607	0.003027
2	3.983344330491533	7.8e-05
3	3.8181632579524236	0.000151
4	4.529489509073066	7e-06
5	3.6592739886945007	0.000279
6	3.8700184290264317	0.000123
7	2.8526465591297967	0.004512
8	4.006108742237124	7.1e-05
9	2.095552394143224	0.036616
10	2.6829147528295656	0.007536
11	1.5445476010222683	0.123078
12	3.8703539325173955	0.000123
13	2.4502641599622312	0.014611
14	3.120825118139127	0.001906
15	3.6225535985997737	0.000321
16	4.37213377654896	1.5e-05
17	3.0722569923642546	0.002238
18	3.728783992314628	0.000214
19	2.1742602050540016	0.030146
20	2.003488350403444	0.045656
21	3.123346675189261	0.00189
22	3.671297609267344	0.000267
23	2.556766857852356	0.010855
24	3.427607331614566	0.000658
25	3.0861833639740555	0.002138
26	3.302625438039899	0.001025
27	4.924439702913947	1e-06
28	4.239931370762579	2.7e-05
29	3.738064482223709	0.000207
30	5.721037495107362	0.0
31	3.639444949350391	0.000301
32	3.2466024395129445	0.001245
33	2.6581116401540816	0.008106
34	3.7326372138032515	0.000211
35	4.462837189481186	1e-05
36	1.5120747338173692	0.131137
37	1.627657479925959	0.104218
38	3.6252949741500267	0.000318
39	4.158930707838683	3.8e-05
40	1.9556696828368378	0.051052
41	2.4377390544286888	0.015121
42	1.9778908530972246	0.048481
43	4.668596839063498	4e-06
44	3.9101289002149797	0.000105
45	4.491136294595509	9e-06
46	1.713071749470292	0.087309
47	2.697609755966898	0.007216
48	3.865408707619033	0.000125
49	5.006328416280749	1e-06
50	4.907190371464552	1e-06
51	4.50881082624622	8e-06
52	2.06648099440613	0.039289
53	4.970775906658642	1e-06
54	4.097801913392901	4.9e-05
55	3.388577820250826	0.000757
56	1.5285879075885123	0.126989
57	4.127568176142926	4.3e-05
58	3.352704501665566	0.00086
59	3.5552398228948445	0.000413
60	3.9172335109304126	0.000102
61	3.716089291301034	0.000225
62	5.343102170206923	0.0
63	2.8137080772999936	0.005087
64	3.7460020651358183	0.0002
65	1.8777833813403473	0.060983
66	4.252571554951332	2.5e-05
67	3.184202512879999	0.001541
68	4.186879466400193	3.3e-05
69	4.3505893162850535	1.6e-05
70	2.694409835761047	0.007285
71	0.34413999117542093	0.730883
72	3.1349831387168057	0.001818
73	4.255613567775487	2.5e-05
74	3.9747446226894954	8.1e-05
75	4.702519814298278	3e-06
76	1.5215399640264222	0.128747
77	2.1276733413905844	0.033845
78	2.3771100141292183	0.017818
79	3.7232001394327647	0.000219
80	2.751413896213065	0.006146
81	2.678000620904328	0.007646
82	3.295517846113587	0.001051
83	5.387931422527626	0.0
84	2.0883541922809012	0.037263
85	3.4131050954401014	0.000694
86	3.1981193929905913	0.00147
87	2.444125606344181	0.014859
88	2.2934654827353698	0.022229
89	5.381635144742896	0.0
90	2.8822974520801323	0.004115
91	3.5011923142992027	0.000504
92	1.5309046313067685	0.126415
93	2.36787953158204	0.018264
94	3.3331313567550738	0.000921
95	4.467840446706363	1e-05
96	4.246661239170934	2.6e-05
97	3.099108372710736	0.002049
98	4.474100449238037	9e-06
99	3.9323404736185523	9.6e-05
100	2.9891693153019823	0.002933
101	2.65408127627549	0.008202
102	2.6483102873231363	0.008341
103	2.7180905865332172	0.00679
104	2.5234810198250455	0.011924
105	3.7580094649533997	0.000191
106	2.9800897045737007	0.00302
107	1.5637666826610486	0.118495
108	3.464651632117368	0.000576
109	3.2032059856949084	0.001444
110	3.626267916547734	0.000317
111	3.3070233424830704	0.00101
112	4.536320198042618	7e-06
113	5.105821481438613	0.0
114	3.5521287584807375	0.000418
115	2.80308557311645	0.005255
116	2.3356597996035178	0.019897
117	2.9618008286937303	0.003202
118	2.4694370117831386	0.01386
119	3.563772878814099	0.0004
120	5.338130486361349	0.0
121	4.885116773040556	1e-06
122	4.071530234116998	5.4e-05
123	4.649682040808718	4e-06
124	3.512831625165607	0.000483
125	3.193234475379591	0.001494
126	1.4060585695293448	0.160318
127	1.6701361148182974	0.095508
128	1.62304993888263	0.105199
129	1.9590683203528494	0.050651
130	2.8876373696365745	0.004047
131	3.282202148666033	0.001101
132	4.76802271486827	2e-06
133	3.0136066031078257	0.002711
134	3.676420248248745	0.000262
135	1.8043009216632853	0.071776
136	3.663726594569677	0.000275
137	3.947805798953123	9e-05
138	3.1223423330396014	0.001896
139	2.888880415850259	0.004031
140	4.4403436581259	1.1e-05
141	1.5712177190820202	0.116755
142	1.8717125693282326	0.061821
143	3.779078798657163	0.000176
144	3.006371631250678	0.002775
145	3.371766544044017	0.000804
146	4.06585878890664	5.5e-05
147	4.257110250045866	2.5e-05
148	3.4993363950448644	0.000507
149	4.761162014017063	3e-06
150	3.699168771037552	0.00024
151	1.4049799092315682	0.160638
152	3.6176862885954866	0.000327
153	1.2784949421004883	0.201659
154	4.695020817039707	3e-06
155	3.6721762187942275	0.000266
156	4.583421884959842	6e-06
157	1.597586366658828	0.110757
158	3.1789956998763436	0.001568
159	3.228533694788095	0.001325
160	1.9691123661017902	0.049483
161	5.019696764474991	1e-06
162	2.709387773615772	0.006968
163	4.919387679310267	1e-06
164	3.9262249009485433	9.8e-05
165	3.6354938041494167	0.000306
166	4.499556205954083	8e-06
167	3.7435262346236025	0.000202
168	1.6933131890790136	0.091009
169	2.7735813575468047	0.005748
170	1.5357533384305153	0.125221
171	3.9297505254224454	9.7e-05
172	4.207732688016506	3.1e-05
173	3.2181520021520003	0.001373
174	0.9995403849838509	0.318009
175	4.466084112188188	1e-05
176	3.579813699872956	0.000377
177	3.6590043852601544	0.00028
178	4.0324805015809515	6.4e-05
179	2.7730051219693856	0.005758
180	4.12968362493734	4.2e-05
181	3.6876908193392475	0.000251
182	1.481044736275908	0.139215
183	4.077614001637206	5.3e-05
184	3.0317348467441887	0.002556
185	4.3087692850556945	2e-05
186	2.2603291607156852	0.024223
187	4.3498694180305355	1.6e-05
188	3.0884622584548156	0.002122
189	2.6811126730271138	0.007576
190	3.1514421581289525	0.001721
191	3.822433442928082	0.000149
192	3.218031185398896	0.001373
193	4.04518140499873	6e-05
194	3.225710258382498	0.001338
195	4.612773400833622	5e-06
196	1.0425427457266305	0.297656
197	4.296605813374658	2.1e-05
198	5.024299622190807	1e-06
199	3.611536920136245	0.000335
200	4.377446661324889	1.5e-05
201	4.58030727897836	6e-06
202	1.931471774899949	0.053981
203	3.7980373653243227	0.000163
204	3.5285377536780222	0.000456
205	4.157634695741539	3.8e-05
206	3.08996986304123	0.002111
207	2.2950320930056627	0.022138
208	4.556102556154475	7e-06
209	3.755374679382886	0.000193
210	3.8209656489307373	0.000149
211	3.7050278638653302	0.000235
212	2.701167787548123	0.00714
213	1.9794083926607662	0.048309
214	3.5618937110927766	0.000403
215	1.3705719532498173	0.171114
216	3.7238570134908864	0.000218
217	3.8559745435166852	0.00013
218	3.415846783551487	0.000687
219	3.4951103655569304	0.000515
220	4.504199326905254	8e-06
221	3.337771249623438	0.000906
222	4.972338268405099	1e-06
223	4.103757913676413	4.7e-05
224	0.9126546323910789	0.361857
225	3.5752514836640787	0.000383
226	4.6790381987770475	4e-06
227	3.5343322459368083	0.000446
228	4.636978926546331	5e-06
229	2.252589841781108	0.024711
230	3.6851501979108736	0.000253
231	3.6865952061841836	0.000252
232	3.1536538827698095	0.001708
233	4.398155396043416	1.3e-05
234	3.470938852432784	0.000563
235	3.3339223383178114	0.000919
236	4.145676537734739	4e-05
237	3.4885171110206854	0.000528
238	3.7104455120172113	0.00023
239	1.8068766983703193	0.071373
240	4.079431156188137	5.2e-05
241	3.1828064762021655	0.001548
242	1.2087285754537227	0.227329
243	1.8303350646548822	0.067786
244	3.4139127366786175	0.000692
245	3.5463753563442113	0.000427
246	4.023586961087971	6.6e-05
247	3.3168307479139236	0.000976
248	3.127508263461026	0.001864
249	3.8492193671507344	0.000134
250	4.176459671551619	3.5e-05
251	2.87442710724383	0.004217
252	4.03664614137028	6.3e-05
253	1.8354405649040746	0.067025
254	5.17463292174676	0.0
255	3.548437808229955	0.000423
256	4.163462377119585	3.7e-05
257	1.7844822081483807	0.074942
258	4.205158924113868	3.1e-05
