gene,observed,random_nets,t-statistic,pvalue
eno,0.0023049179978961,0.004002346747,91.96708130963674,0.0
fba,0.0077962896344862,0.004026696853000001,-190.90873967883596,0.0
trxB,0.0011621480385542,0.0020443324230000003,81.91678846968541,0.0
rpmH,0.0012207740011125,0.0031134752810000003,102.55592413357111,0.0
rpmG,1.2876355320377826e-05,0.003682292193,146.1835789941819,0.0
nadD,0.0024927226153104,0.000945721464,-256.94956654496366,0.0
SPD_1637,0.0,0.0,,
tsf,0.00036811452905293954,0.004405454104,188.29525452760717,0.0
phpP,0.0036106948743518,0.001658282542,-164.6152324231003,0.0
glmM,0.0073433056746292,0.00167621782,-610.0668584321393,0.0
SPD_1582,0.0041640897955417,0.002622865649,-76.89938833499421,0.0
SPD_1358,0.0,0.0,,
murE,0.001458692302513,0.001536572682,5.19208990431548,2.51906473154773e-07
bacA,8.757571202167633e-06,8.069926199999999e-05,25.589238661549338,1.786838643430518e-111
eep,0.00024484546978419195,0.00014287977099999998,-13.090294652562642,2.984876397660567e-36
asnS,0.0038148005433218,0.002299093929,-63.83885690322097,0.0
thrS,0.0040986228386937,0.0057291453669999996,57.075272163334304,1.0635284e-316
tyrS,0.0001963195596318933,0.0007244315029999999,75.11448802016173,0.0
lysS,0.0097162916939034,0.002378180435,-360.809502367364,0.0
proS,0.0013282081432277,0.003110561191,182.18566260258348,0.0
rpe,0.0124267658792363,0.002709439261,-602.0155187210887,0.0
tpiA,0.0074263853746211,0.003188164527,-233.462109989421,0.0
mvaS,0.0016701532978703,0.000826251629,-61.38685465630324,0.0
SPD_1970,0.0021482253277356,0.00010618788700000001,-2218.0510771172394,0.0
fucK,0.0005951999637163863,0.000240200301,-45.50538655024873,9.183930998973766e-246
nusA,0.0008561806488436784,0.0009718777229999999,7.527226711768146,1.1553208423420227e-13
greA,0.0012720741554552,0.0014061001100000002,8.57090135729873,3.8550489811683356e-17
rpoD,0.0032122190164068,0.004068672535,49.657216646718865,4.86401828049363e-272
trpS,0.00030490168996030986,0.0006301312250000001,49.79103962626099,7.161871184498042e-273
rpoZ,0.0096117723399426,0.00679188588,-111.41158378496465,0.0
atpC,0.0010614542152109,0.001229858879,18.7894433700513,1.1106730736640603e-67
atpF,0.0007123330472918448,0.002424281644,93.01915587326636,0.0
atpG,0.0061751402442123,0.002097095078,-247.895844385325,0.0
infA,0.000942311552749446,0.0037624477910000002,144.1750719126747,0.0
rpmF,9.113962469748592e-05,0.005302924337,234.83222506048978,0.0
SPD_1019,0.000645900924147254,0.0005935953229999999,-6.551698439628822,9.093795489793676e-11
rpsS,0.0007117861360319903,0.010814567583,286.1168189597295,0.0
rpsF,0.0006442218454098924,0.008552044907,233.71886726134704,0.0
rplD,0.0015903022334525,0.017271930571,324.19774351857575,0.0
rplN,0.0006960731393821421,0.008055829246999999,299.5775317344759,0.0
rplQ,0.000785271417244712,0.010343203730999999,283.2185081212397,0.0
rpsT,0.0008026153578517684,0.006665206917000001,232.13717871690102,0.0
rplJ,0.0010977492953009,0.007837219465,241.33366699029452,0.0
rpsR,0.0003681654397980087,0.00667886551,240.51534778695262,0.0
rplP,0.0016243406853532,0.017266922653,345.92626665435057,0.0
rpsL,0.0013001405891541,0.017821832492000002,356.8766551693464,0.0
pyrH,0.0041114307520466,0.003084510992,-60.16974142866232,0.0
pgsA,0.0107793287501642,0.001278831331,-1010.6737006548645,0.0
SPD_0270,2.159121912397485e-05,0.0008570844990000001,51.04723173012031,1.2358656003478733e-280
SPD_0706,0.0042454878188095,0.002014121181,-87.27882799896143,0.0
parE,0.0009063262786089248,0.002530019198,54.37093776619554,9.172808334942669e-301
folP,0.0022438496948631,0.001099193804,-170.06085723004517,0.0
coaC,0.0005741257399128144,0.0009299825579999999,40.501810509875845,5.577575529249118e-213
SPD_0982,0.0006267972475635133,0.0014945949710000002,74.74483921211586,0.0
pyk,0.0124635903624207,0.00896794494,-106.528756625343,0.0
ybeY,0.0014278685017728,0.00046573575,-149.66955171171355,0.0
relA,0.0028222754289159,0.003623172918,67.70048038298482,0.0
folE,0.0016701869971678,0.001825773951,14.85466034484377,3.005295005025728e-45
sulD,0.0106310788903263,0.004161248735,-376.77485979542615,0.0
SPD_0975,0.00022478824224900207,0.001007151299,102.53447479214601,0.0
ftsZ,0.0081339015033045,0.008255553931,4.812689682533993,1.7188872603622596e-06
ruvA,0.0012314721812397,0.001647676614,35.54626284394999,1.5511124885813974e-179
spr0156,0.0050271756172205,0.001279103339,-554.1066081562409,0.0
metK,0.0111783804526485,0.002478210476,-437.31953448553367,0.0
ugd,0.0026510549634695,0.002110979559,-34.72589791735258,6.224705455911699e-174
serS,0.0010356399798649,0.001052368803,1.5872874722841506,0.11276398897857463
tsaD,0.0025958392488539,0.001397780754,-108.51748646301158,0.0
SPD_0134,2.14552951076823e-05,6.1977297e-05,34.34025468159422,2.7088097868364845e-171
rnpA,0.0033751410172583,0.001951148159,-99.69878008103949,0.0
SPD_0979,0.0015235652448039,0.001132793585,-33.3776953834947,1.0692541066011658e-164
accA,0.0017281732795994,0.002495383484,59.64994837627479,0.0
accC,0.0043509149995302,0.0019678858900000003,-156.00110995423785,0.0
tarJ,0.0048469770405876,0.0011102047260000002,-478.5865627439028,0.0
ispD,0.0060017102444924,0.0005640686970000001,-572.6284499992564,0.0
SPD_1128,0.000420900042494336,0.0005972968770000001,56.61182664026099,5.363985797e-314
SPD_1849,5.10520181902665e-05,0.00023123812899999998,53.00898120520866,1.3758054436691876e-292
rpsP,0.000985587885957766,0.010606914868,247.87277727371705,0.0
metA,0.0059330859363103,0.0026744519760000004,-265.2691695486173,0.0
trpB,0.0037172964302696,0.002362064617,-63.54184855016401,0.0
SPD_1619,8.692281647647195e-05,0.000369625537,28.26491415169128,1.272252430640085e-129
SPD_1620,0.001394970625655,0.000480100007,-176.1498326067947,0.0
SPD_0098,4.318251325155818e-05,0.00014699250399999997,40.86819435986152,2.03438227366984e-215
SPD_0480,0.0042430262289986,0.0007202028940000001,-506.5792704142575,0.0
SPD_0180,0.00048701234615158726,0.00019606245500000002,-71.03676522188891,0.0
SPD_0088,0.0051976068490761,0.000875841402,-511.09097480194566,0.0
rplT,0.0067005107013051,0.014806347641000002,194.84098228175398,0.0
rpmA,0.0019629468820286,0.014257936337,302.9878992870251,0.0
rpsJ,0.000599199184783018,0.011283111995000001,313.035586120815,0.0
rpmB,0.0008240879279433438,0.008517169796000002,315.5153483787979,0.0
rplM,0.0024837726115308,0.019018026824000004,365.63402186791143,0.0
SPD_1085,0.0008371660437083914,0.00029775493100000003,-211.98241521249145,0.0
rplB,0.0040592986358973,0.018023151434,312.4550745056002,0.0
rpsC,0.013596383444954,0.015653738650999997,39.3755739961212,1.8789089397487868e-205
rpsH,0.0020859994499624,0.014184378095,313.4590348100035,0.0
rplE,0.0010150097747741,0.010393570874999997,289.1950304424566,0.0
rpsK,0.0026213390400759,0.014163864704,313.3834756326262,0.0
rpsM,0.0005302866404371174,0.010502718235,315.4046044181767,0.0
rpsE,0.0047043871655918,0.020241066056000002,317.4033542210638,0.0
rplF,0.0017073342475379,0.011391954783,305.4571161707598,0.0
secG,0.0078017127091658,0.003791748744,-269.21964261423136,0.0
galE-1,0.0013400890092944,0.0017520526170000002,34.99066098110985,9.641624550015915e-176
pgi,0.0219996801822277,0.008297346119,-508.166921553579,0.0
galE-2,0.0027239843496541,0.001141431532,-208.49786544568417,0.0
ptsH,0.0182109648061835,0.009166684589,-260.4475684903965,0.0
SPD_1416,0.0005560217994664644,0.00015219745299999997,-583.1617597389878,0.0
obg,0.0024891167913314,0.0018103854359999999,-44.27213043763925,8.624700796516961e-238
rpsQ,0.0009299106575128012,0.012976866295,221.238773684034,0.0
rpsG,0.0032787508202548,0.015083836129000001,293.5623077556007,0.0
SPD_2034,0.0004895323875431641,0.0011155465389999998,53.528313271724,1.0210152860609633e-295
folA,0.0028314174789578,0.003509522205,34.29095268108517,5.892516553738048e-171
fmt,0.0043214031037461,0.0010659076719999998,-298.28576944400504,0.0
glmS,0.0208400771390117,0.002730297918,-835.284407916961,0.0
ileS,0.0011125382964629,0.003640685424,172.4793123622246,0.0
folD,0.0014649298890237,0.002907839587,96.89545091327602,0.0
purN,0.0007579192297277696,0.002506672049,106.47649591744324,0.0
accB,0.0029174092429203,0.0019342724959999999,-72.8670263558549,0.0
accD,0.0006097624442527664,0.0026585069819999997,142.25909920150445,0.0
fabK,0.000343151240946189,0.001314031431,71.19972181495417,0.0
fabZ,8.571720948775685e-05,0.001076175862,73.94130973428126,0.0
fabF,0.0004947474853183514,0.001873884234,83.44974753475712,0.0
SPD_1437,0.0040589631158918,0.001629628823,-473.0363822024444,0.0
fabG,0.0012786687883622,0.0024770381400000003,96.2216183850518,0.0
murG,0.0058811382605311,0.00287710833,-162.95860258572117,0.0
plsY,0.0014941174561268,0.0008011555770000001,-106.37048161224045,0.0
fabD,0.0009221610621552236,0.0014751193150000003,46.12735735233072,9.344013340758636e-250
ssb,0.001797038078969,0.0015258721180000001,-16.275452592725696,5.234376796122483e-53
glmU,0.0095660398461837,0.002041816181,-508.46607900929513,0.0
purF,0.0015044466917103,0.002888804431,91.2837034259516,0.0
rplK,0.0023282519619894,0.01400885203,327.11999536981006,0.0
nrdE,0.0030559630377273,0.004140365827,50.84778244834945,2.0839597328076564e-279
thyA,0.0090463725138223,0.002835729072,-459.3607786511273,0.0
pfkA,0.0044552638774976,0.003560772072,-56.97090760468084,4.30894215e-316
stkP,0.0326707184389956,0.011166322881,-465.18587207594794,0.0
SPD_1440,0.0,0.0,,
dnaK,0.013611582106955,0.007288257659999999,-238.0858272735573,0.0
atpD,0.0063099738433741,0.003496204039,-150.0096996083152,0.0
groL,0.0080130405562202,0.004179044917000001,-180.40927086727459,0.0
atpA,0.0037751876532455,0.003960086007,10.176944956867867,3.2552416397824475e-23
adk,0.0050069001795452,0.0037492526370000003,-72.38899355585815,0.0
guaB,0.0197958095052222,0.009608901652,-277.0824655961464,0.0
birA,0.0250798932984877,0.0059678742719999995,-694.0653531163946,0.0
ruvB,0.0031755334662592,0.0019376494279999999,-68.19912759284968,0.0
hpt,0.0035335938704173,0.00190504697,-98.44390090684287,0.0
frr,0.0013014106841416,0.0067838423419999995,196.6184127947622,0.0
rplA,0.0009218586962537938,0.011495479867,311.5774635593733,0.0
prfA,0.0032610723679186,0.005576341402,91.45760485947247,0.0
gltX,0.0160340574357359,0.011441900176,-135.66523677543987,0.0
pheT,0.0275976738856027,0.011544585571999999,-533.3482836330556,0.0
der,0.0034276817490284,0.003116984149,-16.994498518940336,4.3317903177204806e-57
rplR,0.0018742967812885,0.014432299866999999,324.3147438683936,0.0
fusA,0.004059255858974,0.010066686419,128.9761126085622,0.0
pth,0.0009015853605195596,0.001093145717,16.584423462074586,9.481380506959782e-55
ychF,0.0026630361663483,0.001758005437,-102.11759681079788,0.0
SPD_0003,2.540807954937741e-05,4.4473619000000006e-05,16.750700192360192,1.0759266344518761e-55
topA,0.0019457298149742,0.001650758321,-27.000857560632166,5.163057507378643e-121
holB,0.0032482122758427,0.006282647923,134.7713888911283,0.0
rpoC,0.0036482492127954,0.008802138396,178.62743489829478,0.0
dnaX,0.002638934498876,0.0023715317670000005,-14.961040619122668,8.165289782590337e-46
gyrB,0.0020450877627858,0.003320529832,74.04869267439899,0.0
SPD_1405,0.001159524185826,0.0006687641360000001,-123.15149690830658,0.0
dnaE,0.0028370666978972,0.003435467095,43.1935008979833,9.300144121738386e-231
dnaI,0.0004356074685856217,0.00174190582,136.5549041987664,0.0
dnaG,0.0031845642304568,0.004258322497,81.52180138990697,0.0
dnaB,0.0073422250204369,0.0020819250079999996,-400.70027318270337,0.0
