"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6.270058708414873","0.0","0.15948813982521848","0.0","1","11","false","spr2002","3.0","0","1","0","0.9516508375374781","true","0","spr2002","0","0.0"
"5.27054794520548","9.784735812133072E-4","0.18973359324236516","0.3333333333333333","3","10","false","spr1999","5.666666666666667","0","3","0","0.9608206610531608","true","0","spr1999","33084","0.38095238095238093"
"5.271037181996086","0.0","0.18971598292184888","1.0","2","10","false","spr2000","8.5","0","2","0","0.9608161726422377","true","0","spr2000","0","0.5666666666666667"
"6.144324853228963","0.0","0.1627518114499562","1.0","2","11","false","GlpF","4.0","0","2","0","0.9528043591446884","true","0","GlpF","0","1.0"
"5.145303326810176","9.777551718291564E-4","0.19435200152134638","0.5","4","10","false","spr1990","6.75","0","4","0","0.9619696942494479","true","0","spr1990","72206","0.32142857142857145"
"6.144324853228963","0.0","0.1627518114499562","1.0","2","11","false","spr1992","4.0","0","2","0","0.9528043591446884","true","0","spr1992","0","1.0"
"5.145303326810176","9.777551718291564E-4","0.19435200152134638","0.5","4","10","false","spr1989","6.75","0","4","0","0.9619696942494479","true","0","spr1989","72206","0.32142857142857145"
"7.6345401174168295","0.0","0.13098365908362705","0.0","1","12","false","SP_0090","6.0","0","1","0","0.9391326594732401","true","0","SP_0090","0","0.0"
"6.635029354207436","0.004887578510172198","0.15071523374133608","0.0","6","11","false","SP_1798","1.1666666666666667","0","6","0","0.9483024829889226","true","0","SP_1798","215690","0.16666666666666666"
"7.6345401174168295","0.0","0.13098365908362705","0.0","1","12","false","SP_0092","6.0","0","1","0","0.9391326594732401","true","0","SP_0092","0","0.0"
"7.6345401174168295","0.0","0.13098365908362705","0.0","1","12","false","SP_0091","6.0","0","1","0","0.9391326594732401","true","0","SP_0091","0","0.0"
"7.6345401174168295","0.0","0.13098365908362705","0.0","1","12","false","SP_1796","6.0","0","1","0","0.9391326594732401","true","0","SP_1796","0","0.0"
"7.6345401174168295","0.0","0.13098365908362705","0.0","1","12","false","SP_1797","6.0","0","1","0","0.9391326594732401","true","0","SP_1797","0","0.0"
"5.481409001956947","0.0","0.18243484469832205","1.0","2","10","false","SPD_1979","7.5","0","2","0","0.9588861559453491","true","0","SPD_1979","0","0.625"
"5.221135029354207","5.140320419061472E-5","0.19152923538230884","0.6666666666666666","3","10","false","SPD_1978","8.333333333333334","0","3","0","0.9612739905563835","true","0","SPD_1978","2226","0.5208333333333334"
"6.418786692759295","0.0","0.15579268292682927","0.0","1","11","false","spr1959","4.0","0","1","0","0.9502863606168872","true","0","spr1959","0","0.0"
"5.419275929549902","9.892511310453215E-4","0.1845264963437754","0.3333333333333333","4","10","false","spr1955","4.75","0","4","0","0.9594561841325697","true","0","spr1955","37608","0.32142857142857145"
"5.419765166340508","1.0777549832015394E-5","0.18450983932117712","0.6666666666666666","3","10","false","spr1956","6.333333333333333","0","3","0","0.9594516957216467","true","0","spr1956","606","0.4222222222222222"
"5.990215264187867","0.0","0.16693890885331591","0.0","1","11","false","SP_2153","7.0","0","1","0","0.9542182085854324","true","0","SP_2153","0","0.0"
"4.990704500978474","0.0030478809431972965","0.2003725124987746","0.09523809523809523","7","10","false","arcA","6.142857142857143","0","7","0","0.963388032101115","true","0","arcA","159366","0.21428571428571427"
"5.990215264187867","0.0","0.16693890885331591","0.0","1","11","false","SP_1203","7.0","0","1","0","0.9542182085854324","true","0","SP_1203","0","0.0"
"5.990215264187867","0.0","0.16693890885331591","0.0","1","11","false","SP_2152","7.0","0","1","0","0.9542182085854324","true","0","SP_2152","0","0.0"
"5.003913894324853","6.282069837146325E-4","0.1998435666797028","0.75","8","9","false","SPD_1947","9.625","0","8","0","0.963266845006194","true","0","SPD_1947","26754","0.296875"
"5.00440313111546","0.0","0.19982402971942517","1.0","7","9","false","SPD_1946","10.857142857142858","0","7","0","0.963262356595271","true","0","SPD_1946","0","0.329004329004329"
"5.00440313111546","0.0","0.19982402971942517","1.0","7","9","false","SPD_1949","10.857142857142858","0","7","0","0.963262356595271","true","0","SPD_1949","0","0.329004329004329"
"4.736790606653621","4.3608652437895706E-4","0.21111340632100803","0.0","3","10","false","argR","10.666666666666666","0","3","0","0.9657175173701503","true","0","argR","22172","0.3333333333333333"
"5.12279843444227","0.0","0.195205806513227","0.0","1","10","false","ribC","14.0","0","1","0","0.9621761611519057","true","0","ribC","0","0.0"
"4.123287671232877","0.003581194909663527","0.2425249169435216","0.24175824175824176","14","9","false","hexA","21.857142857142858","0","14","0","0.9713459846675884","true","0","hexA","170108","0.1360759493670886"
"5.11986301369863","7.429392303186048E-4","0.19531772575250836","0.3333333333333333","4","10","false","SPD_1900","5.0","0","4","0","0.9622030916174438","true","0","SPD_1900","20678","0.36538461538461536"
"4.699608610567514","6.642835168204457E-4","0.2127836768686238","0.5","4","10","false","SPD_1898","13.25","0","4","0","0.9660586366002981","true","0","SPD_1898","24188","0.29444444444444445"
"5.216242661448141","6.701924246592958E-5","0.1917088726317764","0.0","2","10","false","spr1168","19.0","0","2","0","0.9613188746656134","true","0","spr1168","4392","0.5294117647058824"
"4.654109589041096","0.0028368982766904405","0.21486387049300956","0.15151515151515152","12","9","false","cglD","11.083333333333334","0","12","0","0.9664760588161367","true","0","cglD","141252","0.15931372549019607"
